,column_name,shap_importance
1,anchor_age,0.41109225153923035
1923,Lactic Acid,0.3315952718257904
2750,Temperature Fahrenheit,0.26672446727752686
2050,O2 saturation pulseoxymetry,0.26404574513435364
1095,Braden Mobility,0.22727763652801514
1516,Heart Rate,0.22548002004623413
1446,GCS - Motor Response,0.21275216341018677
2524,Respiratory Rate,0.2114933282136917
235,NaCl 0.9%,0.2059348225593567
2032,Non Invasive Blood Pressure systolic,0.1951715499162674
1889,Inspired O2 Fraction,0.18574759364128113
1445,GCS - Eye Opening,0.18189501762390137
2554,Richmond-RAS Scale,0.17683112621307373
229,Morphine Sulfate,0.15911518037319183
247,Norepinephrine,0.1448301374912262
19,Foley,0.1278936266899109
2672,Strength R Leg,0.11804064363241196
2526,Respiratory Rate (Total),0.11675877124071121
1097,Braden Nutrition,0.1108834519982338
384,Base Excess,0.10837393254041672
1098,Braden Sensory Perception,0.10081613808870316
956,Admission Weight (Kg),0.09855838865041733
957,Admission Weight (lbs.),0.09623359888792038
270,PO Intake,0.09215688705444336
2046,O2 Flow_y,0.09104395657777786
256,OR Crystalloid Intake,0.09072911739349365
69,Void,0.0885586217045784
9,Chest Tube #1,0.0881609320640564
848,pH,0.0863066092133522
616,Lactate,0.08310269564390182
728,RDW,0.08222444355487823
2227,Platelet Count_y,0.08038100600242615
700,Platelet Count_x,0.07367854565382004
686,PT,0.06758305430412292
328,patientweight,0.06718391180038452
321,Vasopressin,0.06402578949928284
1978,Minute Volume,0.061290010809898376
1094,Braden Friction/Shear,0.054287299513816833
461,"Chloride, Whole Blood",0.05372365191578865
391,Bicarbonate,0.052713245153427124
2124,PH (Arterial),0.05154187232255936
2189,Peak Insp. Pressure,0.05028329789638519
1488,Glucose finger stick (range 70-100),0.05026102438569069
841,White Blood Cells,0.049751270562410355
2030,Non Invasive Blood Pressure diastolic,0.049456339329481125
1039,Arterial Blood Pressure systolic,0.04888412728905678
2433,Prothrombin time,0.048200830817222595
288,Pre-Admission/Non-ICU Intake,0.04717222601175308
1213,Chloride (serum),0.04692888259887695
2031,Non Invasive Blood Pressure mean,0.04663925617933273
873,18 Gauge placed in outside facility,0.04653901979327202
195,Insulin - Regular,0.04620354250073433
2154,Pain Level,0.045302387326955795
642,Magnesium_x,0.04447555914521217
1485,Glucose (serum),0.04323272034525871
366,Anion Gap,0.04270784556865692
2225,Plateau Pressure,0.042247530072927475
131,Dextrose 5%,0.0417642816901207
459,Chloride,0.04165206104516983
157,Fentanyl (Concentrate),0.04083049297332764
2908,WBC_y,0.03823467344045639
473,Creatinine,0.03745831176638603
1010,Anion gap,0.03479529917240143
636,MCV,0.03363744914531708
847,pCO2,0.03312959522008896
2525,Respiratory Rate (Set),0.032977376133203506
179,Heparin Sodium (Prophylaxis),0.0324915386736393
2901,Visual / hearing deficit,0.032314226031303406
880,20 Gauge placed in outside facility,0.03224926441907883
813,Urea Nitrogen,0.0314953550696373
1872,Indwelling Port (PortaCath) Dressing Occlusive,0.03149228170514107
279,Phenylephrine,0.0312938466668129
870,18 Gauge Dressing Occlusive,0.031239761039614677
530,Glucose,0.031102685257792473
1887,Inspiratory Time,0.030470363795757294
1093,Braden Activity,0.03028891794383526
1282,Daily Weight,0.029523853212594986
565,Hemoglobin_x,0.02934197708964348
1062,BUN,0.029321717098355293
308,Solution,0.028648119419813156
2156,Pain Level Response,0.028263164684176445
635,MCHC,0.028161656111478806
521,Free Calcium,0.028010208159685135
2125,PH (Venous),0.02764439396560192
2761,Temporary Pacemaker Rate,0.02721378207206726
220,Mannitol,0.02690022625029087
444,"Calcium, Total",0.02663480117917061
450,Calculated Total CO2,0.026253804564476013
687,PTT_x,0.025897348299622536
294,Propofol,0.025784116238355637
2721,TCO2 (calc) Arterial,0.025365568697452545
1178,Calcium non-ionized,0.025328848510980606
1096,Braden Moisture,0.02517084963619709
2637,Sodium (serum),0.02488064393401146
1486,Glucose (whole blood),0.024669891223311424
2598,Serum Osmolality,0.024543408304452896
2061,Orientation to Time,0.02448277920484543
2644,SpO2 Desat Limit,0.024013886228203773
217,Magnesium Sulfate,0.023957744240760803
165,Fresh Frozen Plasma,0.023951761424541473
1195,Central Venous Pressure,0.023889152333140373
2777,Tidal Volume (observed),0.02385806292295456
558,Hematocrit,0.023626741021871567
1909,LDH,0.023407569155097008
849,pO2,0.023339971899986267
53,Pre-Admission,0.02309989556670189
1047,Arterial O2 pressure,0.022980228066444397
2893,Ventilator Mode,0.022778810933232307
695,Phosphate,0.02255222201347351
800,Troponin T,0.022433297708630562
1265,Creatinine (serum),0.021762551739811897
734,Red Blood Cells,0.02166866511106491
2139,PSV Level,0.021661357954144478
139,Dopamine,0.0209114421159029
2213,Phosphorous,0.02079435996711254
122,D5 1/2NS,0.020751874893903732
177,Heparin Sodium,0.020717982202768326
1496,HCO3 (serum),0.02048143371939659
2645,Special diet,0.020076598972082138
353,Alkaline Phosphatase,0.019204160198569298
707,"Potassium, Whole Blood",0.018848756328225136
2148,PTT_y,0.018794232979416847
1303,Differential-Eos,0.018742337822914124
1111,CAM-ICU Inattention,0.0185852013528347
756,Sodium,0.018542485311627388
1037,Arterial Blood Pressure diastolic,0.01846558041870594
617,Lactate Dehydrogenase (LD),0.01819065399467945
900,ALT,0.01779038831591606
1491,Goal Richmond-RAS Scale,0.017750468105077744
41,OR Urine,0.0176196601241827
1524,Hematocrit (serum),0.017554989084601402
1277,Currently experiencing pain,0.0175461582839489
227,Midazolam (Versed),0.017469080165028572
156,Fentanyl_x,0.017439287155866623
243,Nicardipine,0.017344392836093903
1386,EtCO2,0.016616664826869965
517,"Fibrinogen, Functional",0.01655280776321888
1038,Arterial Blood Pressure mean,0.01650668866932392
2788,Total Bilirubin,0.016271280124783516
1034,Arterial Base Excess,0.015994515269994736
561,"Hematocrit, Calculated",0.015589579939842224
612,Ketone,0.015263108536601067
1520,Heart rate Alarm - High,0.015240457840263844
705,Potassium,0.015146680176258087
2243,Potassium (serum),0.01514018326997757
671,Nucleated Red Cells,0.015137141570448875
954,Acuity Workload Question 1,0.015132245607674122
282,Piggyback,0.015113260596990585
1691,Impaired Skin Length #1,0.015110952779650688
1888,Inspired Gas Temp.,0.01496711652725935
237,NaCl 3% (Hypertonic Saline),0.014796171337366104
245,Nitroglycerin,0.014613388106226921
936,Absolute Count - Lymphs,0.01454520970582962
1036,Arterial Blood Pressure Alarm - Low,0.014045373536646366
1109,CAM-ICU Altered LOC,0.014040861278772354
1903,Is the spokesperson the Health Care Proxy,0.014001378789544106
1447,GCS - Verbal Response,0.01380166132003069
2896,Ventilator Tank #2,0.0137937031686306
102,Calcium Gluconate,0.013649217784404755
1522,Height (cm),0.013471309095621109
1307,Difficulty swallowing,0.013329609297215939
40,OR EBL,0.01322400663048029
108,Cefazolin,0.01322323177009821
944,Activity / Mobility (JH-HLM),0.013178402557969093
2244,Potassium (whole blood),0.013120081275701523
1395,Eye Care,0.013093885965645313
1957,Mean Airway Pressure,0.012794540263712406
28,Jackson Pratt #1,0.012684732675552368
2049,O2 Saturation Pulseoxymetry Alarm - Low,0.01260350551456213
2670,Strength L Leg,0.012331555597484112
1393,Expiratory Ratio,0.011925271712243557
631,Lymphocytes,0.01183568686246872
2749,Temperature Celsius,0.011720051057636738
2186,Paw High,0.01163977850228548
1197,Central Venous Pressure Alarm - High,0.011551258154213428
648,Metamyelocytes,0.011487993411719799
2556,Riker-SAS Scale,0.011413774453103542
877,20 Gauge Dressing Occlusive,0.011407837271690369
773,Thyroid Stimulating Hormone,0.011386907659471035
339,Absolute Eosinophil Count,0.011315223760902882
273,Pantoprazole (Protonix),0.011308254674077034
2033,Non-Invasive Blood Pressure Alarm - High,0.011260440573096275
967,Albumin_y,0.011079991236329079
2638,Sodium (whole blood),0.011003079824149609
207,LR,0.010899702087044716
729,RDW-SD,0.010675984434783459
2790,Total PEEP Level,0.010620961897075176
970,Alkaline Phosphate,0.0106183597818017
2856,Unable to assess psychological,0.010497845709323883
253,OR Cell Saver Intake,0.010328706353902817
1949,Magnesium_y,0.010205857455730438
355,Alveolar-arterial Gradient,0.0101197250187397
2826,Troponin-T,0.009920252487063408
2794,Trach Care,0.009867355227470398
2779,Tidal Volume (spontaneous),0.009677120484411716
183,Hydromorphone (Dilaudid),0.009462541900575161
309,Sterile Water,0.009414447471499443
1045,Arterial Line placed in outside facility,0.009317228570580482
1531,Hemoglobin_y,0.00929489079862833
682,Oxygen,0.009287471882998943
472,"Creatine Kinase, MB Isoenzyme",0.009115339256823063
94,Azithromycin,0.009114105254411697
2509,Recreational drug use,0.008706625550985336
2669,Strength L Arm,0.008683405816555023
1345,ETOH,0.008681343868374825
2527,Respiratory Rate (spontaneous),0.008614180609583855
109,Cefepime,0.008575288578867912
74,Acetaminophen-IV,0.008474458009004593
884,22 Gauge Dressing Occlusive,0.008473164401948452
2172,Parameters Checked,0.008471189998090267
2123,PEEP set,0.008387327194213867
347,Albumin_x,0.008317147381603718
2857,Unable to assess teaching / learning needs,0.008261575363576412
664,Neutrophils,0.008101255632936954
202,KCL (Bolus),0.008101153187453747
1579,IV/Saline lock,0.00808295514434576
2034,Non-Invasive Blood Pressure Alarm - Low,0.008061756379902363
2816,Tremor (CIWA),0.007892743684351444
910,ART BP Systolic,0.007808175403624773
13,Condom Cath,0.00779587822034955
634,MCH,0.00766350282356143
2853,Unable to assess habits,0.00755993602797389
47,PACU Urine,0.007525670807808638
1040,Arterial CO2 Pressure,0.007441140711307526
1741,Impaired Skin Width #1,0.007359703071415424
1276,Current Used/mA,0.007197861094027758
2768,Temporary Venticular Stim Threshold mA,0.007112368009984493
1442,Fspn High,0.007102089002728462
613,L,0.006999666336923838
377,Asparate Aminotransferase (AST),0.006979592610150576
2134,PICC Line Power PICC,0.006947427522391081
1539,Home TF,0.006903153378516436
2519,Resp Alarm - High,0.006867702584713697
836,WBC_x,0.0067969197407364845
2100,PAR-Circulation,0.00678875669836998
1900,Intravenous  / IV access prior to admission,0.006698775105178356
2655,Spont Vt,0.006686147768050432
346,Alanine Aminotransferase (ALT),0.006671116687357426
7,Cerebral Ventricular #1,0.006650526076555252
340,Absolute Lymphocyte Count,0.006640900392085314
767,Temperature,0.0065321833826601505
4,Cath Lab,0.006451804656535387
216,Lorazepam (Ativan),0.006385166198015213
2890,Venous CO2 Pressure,0.006338657345622778
471,Creatine Kinase (CK),0.006303094793111086
1967,Mental status,0.006286280229687691
1305,Differential-Monos,0.00610236544162035
1980,Minute Volume Alarm - Low,0.006083113141357899
1413,Fibrinogen,0.006054827477782965
625,Lipase_x,0.00596791272982955
1934,Lipase_y,0.0059654731303453445
2591,Self ADL,0.005944841541349888
2870,Unintentional weight loss >10 lbs.,0.005907576531171799
758,"Sodium, Whole Blood",0.0058487760834395885
88,Ampicillin,0.005845684092491865
2895,Ventilator Tank #1,0.00582590838894248
683,Oxygen Saturation,0.005825194530189037
1517,Heart Rate Alarm - Low,0.005750270560383797
759,Specific Gravity,0.0055144126527011395
115,Cisatracurium,0.0054594106040894985
1069,Baseline pain level,0.00542424013838172
1127,CK-MB,0.005357395391911268
2310,Pressure Ulcer Stage #1,0.00520060071721673
1304,Differential-Lymphs,0.005160227417945862
107,Cath Lab Intake,0.005146876908838749
2101,PAR-Consciousness,0.0051430873572826385
1192,Cardiac Output (thermodilution),0.005132507067173719
1521,Height,0.005107578821480274
915,AST,0.005106935743242502
1306,Differential-Neuts,0.005078174639493227
1744,Impaired Skin Width #3,0.004982090555131435
1084,Bladder Scan Estimate,0.0049453116953372955
2060,Orientation to Place,0.004924986977130175
1480,Gait/Transferring,0.004879676271229982
1194,Central Venous O2% Sat,0.004847976844757795
1035,Arterial Blood Pressure Alarm - High,0.004794119391590357
167,Furosemide (Lasix) 250/50,0.004781263414770365
590,I,0.004716286901384592
127,Dexmedetomidine (Precedex),0.004699699580669403
171,Gentamicin_x,0.004635938908904791
1536,High risk (>51) interventions,0.004535246174782515
244,Nicardipine 40mg/200,0.004481606185436249
995,Ambulatory aid,0.004438437521457672
1296,Dialysis patient,0.004400919657200575
265,PACU Crystalloid Intake,0.0043884883634746075
1271,Cuff Pressure,0.004195517394691706
76,Acyclovir,0.004192965570837259
477,"Creatinine, Urine",0.004183508455753326
1301,Differential-Bands,0.004130958113819361
151,Esmolol,0.0041261580772697926
591,INR(PT),0.004110479727387428
43,Ostomy (output),0.00405889144167304
2891,Venous O2 Pressure,0.004049239680171013
2707,SvO2,0.0040360065177083015
218,Magnesium Sulfate (Bolus),0.004014063626527786
2872,Uric Acid_y,0.004010338801890612
814,"Urea Nitrogen, Urine",0.003941199742257595
397,"Bilirubin, Total",0.0038689556531608105
540,H,0.003864968428388238
1075,BiPap IPAP,0.003803681582212448
137,Diltiazem,0.003742270404472947
85,Amiodarone,0.0037039367016404867
1317,Discharge needs,0.003630273509770632
1430,Flow Rate (L/min),0.0036267798859626055
1454,GI #1 Tube Mark (CM),0.003607627237215638
1014,Anxiety,0.0036043431609869003
657,Monocytes,0.003553591435775161
2885,Vancomycin (Random),0.003545752726495266
381,Bands,0.003532739821821451
2096,PAEDP,0.003515759715810418
2907,Vti High,0.003512550378218293
1979,Minute Volume Alarm - High,0.0033796539064496756
1661,Impaired Skin Depth #1,0.0032530773896723986
587,Hyaline Casts,0.003248410765081644
659,Myelocytes,0.0031913931015878916
170,Gastric Meds,0.0031809539068490267
1126,CK (CPK),0.0031257576774805784
1943,MDI #1 Puff,0.003100388450548053
2888,Vaulables Checklist,0.0030983162578195333
2099,PAR-Activity,0.0030975076369941235
1380,Epidural Infusion Rate (mL/hr),0.003096061060205102
2766,Temporary Pacemaker Wires Venticular,0.0030946501065045595
2667,Stool Guaiac QC,0.003082008333876729
281,Phenylephrine (50/250),0.0030005245935171843
176,Haloperidol (Haldol),0.0029014330357313156
713,Protein,0.0028784850146621466
515,Ferritin,0.002810769947245717
2110,PCA basal rate (mL/hour),0.0026800099294632673
2685,Subglottal Suctioning,0.002677986631169915
29,Jackson Pratt #2,0.0026670193765312433
955,Acuity Workload Question 2,0.0026556106749922037
287,Potassium Chloride,0.002628717105835676
326,Vitamin K (Phytonadione),0.002617758698761463
1404,Feeding Weight,0.0025627282448112965
2855,Unable to assess pain,0.0025326539762318134
313,Thiamine,0.00244968687184155
168,GT Flush,0.002447515958920121
674,"Osmolality, Measured",0.0024295386392623186
737,Required O2,0.002392678754404187
1902,Ionized Calcium,0.002341782208532095
1574,INR,0.0023300598841160536
112,Ceftriaxone,0.0022771127987653017
1981,Mixed Venous O2% Sat,0.002266881987452507
1926,Legal Guardian,0.002172913635149598
604,Iron,0.002170453080907464
1910,LDL calculated,0.0021268525160849094
1078,BiPap O2 Flow,0.002112247049808502
0,gender,0.002105619991198182
231,Multivitamins,0.00209854356944561
2265,Pressure Ulcer #1- Width,0.002088672248646617
2671,Strength R Arm,0.0020575167145580053
1124,CHG Bath,0.001995593076571822
222,Meropenem,0.0019738071132451296
1875,Indwelling Port (PortaCath) placed in outside facility,0.001920844428241253
495,Epithelial Cells,0.0019053688738495111
2095,PA Line cm Mark,0.0019016131991520524
360,Amylase_x,0.0018928509671241045
208,Labetalol,0.0018734870245680213
846,eAG,0.0018709664000198245
1110,CAM-ICU Disorganized thinking,0.0018613151041790843
2585,See chart for initial patient assessment,0.001834833761677146
1263,Cough/Deep Breath,0.001816876232624054
2052,"OCAT - Saliva secretions, Voice quality",0.0017560599371790886
89,Ampicillin/Sulbactam (Unasyn),0.0017542336136102676
61,Straight Cath,0.0017410675063729286
1873,Indwelling Port (PortaCath) Power Port,0.001738067134283483
675,"Osmolality, Urine",0.001675900537520647
942,Activated Clotting Time,0.0016666814917698503
2324,Pressure ulcer #1- Length,0.0016497726319357753
1046,Arterial O2 Saturation,0.001607067883014679
2312,Pressure Ulcer Stage #2,0.001586621394380927
2566,ST Segment Monitoring On,0.0015698621282353997
225,Metronidazole,0.0015426402678713202
64,Suprapubic,0.0014498271048069
2103,PAR-Remain sedated,0.0014469452435150743
1133,CO2 production,0.0014450697926804423
145,Epinephrine,0.0014422767562791705
2059,Orientation to Person,0.001434452598914504
1099,Brain Natiuretic Peptide (BNP),0.0014161133440211415
21,GU Irrigant/Urine Volume Out,0.0014022309333086014
306,Sodium Bicarbonate 8.4%,0.0013891990529373288
246,Nitroprusside,0.0013838240411132574
1376,Emotional / physical / sexual harm by partner or close relation,0.0013736700639128685
386,Basophils,0.001329851453192532
1274,Current Dyspnea Assessment,0.0013174769701436162
2854,Unable to assess nutrition / education,0.0012822685530409217
181,Hydralazine,0.0012783403508365154
940,Access Pressure,0.001277203089557588
782,"Total Nucleated Cells, Other",0.0012673184974119067
1537,History of falling (within 3 mnths),0.0012450331123545766
1894,Intra Cranial Pressure,0.0012341018300503492
39,Nasogastric,0.001210381742566824
54,R Nephrostomy,0.0012009360361844301
2138,PO2 (Mixed Venous),0.001195652293972671
537,Granular Casts,0.001180191058665514
2612,Shivering Assessment,0.0011592032387852669
887,22 Gauge placed in outside facility,0.001148187555372715
1898,Intra Cranial Pressure Alarm - High,0.0011477525113150477
658,Monos,0.001144704525358975
1538,History of slips / falls,0.0011419682996347547
2722,TCO2 (calc) Venous,0.001125385402701795
2461,RCexp (Measured Time Constant),0.0011236063437536359
25,Ileoconduit,0.001120661268942058
1138,CPOT-Body Movements (CPOTb),0.001107606920413673
1474,GI Guaiac QC,0.0010962866945192218
1044,Arterial Line Zero/Calibrate,0.0010891887359321117
738,"Reticulocyte Count, Absolute",0.0010844580829143524
2582,Secondary diagnosis,0.0010835037101060152
20,GU Irrigant Volume In,0.0010680158156901598
407,C-Reactive Protein,0.001046746619977057
966,Alarms On,0.001044433331117034
829,Vancomycin_y,0.001042317715473473
2047,O2 Flow (additional cannula),0.0010092640295624733
2274,Pressure Ulcer #2- Width,0.0009583558421581984
1302,Differential-Basos,0.0009568605455569923
757,"Sodium, Urine",0.0009521300671622157
320,Vancomycin_x,0.0009318954544141889
307,Sodium Bicarbonate 8.4% (Amp),0.0009280110243707895
1128,CK-MB fraction (%),0.0009211822180077434
234,NaCl 0.45%,0.0008959129918366671
1146,CPOT-Vocalization (CPOTb),0.0008952739299274981
16,Emesis,0.0008915440994314849
1180,Called Out,0.0008907918818295002
595,Immunoglobulin A,0.0008869346347637475
33,L Nephrostomy,0.0008828511345200241
706,"Potassium, Urine",0.0008787540718913078
935,Absolute Count - Eos,0.0008697369485162199
2126,PH (dipstick),0.0008666408830322325
2906,Volume Out (PD),0.0008565752650611103
166,Furosemide (Lasix),0.0008399662910960615
704,Polys,0.0008375143515877426
776,Tidal Volume,0.0008139372803270817
633,Lymphs,0.0008124052546918392
1308,Digoxin_y,0.0008019632659852505
1350,ETT Re-taped,0.000799738394562155
2778,Tidal Volume (set),0.0007850989932194352
1993,Multi Lumen Dressing Occlusive,0.0007704035378992558
118,Clindamycin,0.0007681716815568507
311,TPN without Lipids,0.0007587266154587269
1087,Blood Temperature CCO (C),0.0007320306031033397
